question,subject
Physics Q8: Explain Newton's 2 Law of Motion.,physics
Physics Q9: Explain Newton's 3 Law of Motion.,physics
Physics Q10: Explain Newton's 1 Law of Motion.,physics
Physics Q11: Explain Newton's 2 Law of Motion.,physics
Physics Q12: Explain Newton's 3 Law of Motion.,physics
Physics Q13: Explain Newton's 1 Law of Motion.,physics
Physics Q14: Explain Newton's 2 Law of Motion.,physics
Physics Q15: Explain Newton's 3 Law of Motion.,physics
Physics Q16: Explain Newton's 1 Law of Motion.,physics
Physics Q17: Explain Newton's 2 Law of Motion.,physics
Physics Q18: Explain Newton's 3 Law of Motion.,physics
Physics Q19: Explain Newton's 1 Law of Motion.,physics
Physics Q20: Explain Newton's 2 Law of Motion.,physics
Physics Q21: Explain Newton's 3 Law of Motion.,physics
Physics Q22: Explain Newton's 1 Law of Motion.,physics
Physics Q23: Explain Newton's 2 Law of Motion.,physics
Physics Q24: Explain Newton's 3 Law of Motion.,physics
Physics Q25: Explain Newton's 1 Law of Motion.,physics
Physics Q26: Explain Newton's 2 Law of Motion.,physics
Physics Q27: Explain Newton's 3 Law of Motion.,physics
Physics Q28: Explain Newton's 1 Law of Motion.,physics
Physics Q29: Explain Newton's 2 Law of Motion.,physics
Physics Q30: Explain Newton's 3 Law of Motion.,physics
Physics Q31: Explain Newton's 1 Law of Motion.,physics
Physics Q32: Explain Newton's 2 Law of Motion.,physics
Physics Q33: Explain Newton's 3 Law of Motion.,physics
Physics Q34: Explain Newton's 1 Law of Motion.,physics
Physics Q35: Explain Newton's 2 Law of Motion.,physics
Physics Q36: Explain Newton's 3 Law of Motion.,physics
Physics Q37: Explain Newton's 1 Law of Motion.,physics
Physics Q38: Explain Newton's 2 Law of Motion.,physics
Physics Q39: Explain Newton's 3 Law of Motion.,physics
Physics Q40: Explain Newton's 1 Law of Motion.,physics
Physics Q41: Explain Newton's 2 Law of Motion.,physics
Physics Q42: Explain Newton's 3 Law of Motion.,physics
Physics Q43: Explain Newton's 1 Law of Motion.,physics
Physics Q44: Explain Newton's 2 Law of Motion.,physics
Physics Q45: Explain Newton's 3 Law of Motion.,physics
Physics Q46: Explain Newton's 1 Law of Motion.,physics
Physics Q47: Explain Newton's 2 Law of Motion.,physics
Physics Q48: Explain Newton's 3 Law of Motion.,physics
Physics Q49: Explain Newton's 1 Law of Motion.,physics
Physics Q50: Explain Newton's 2 Law of Motion.,physics
Physics Q51: Explain Newton's 3 Law of Motion.,physics
Physics Q52: Explain Newton's 1 Law of Motion.,physics
Physics Q53: Explain Newton's 2 Law of Motion.,physics
Physics Q54: Explain Newton's 3 Law of Motion.,physics
Physics Q55: Explain Newton's 1 Law of Motion.,physics
Physics Q56: Explain Newton's 2 Law of Motion.,physics
Physics Q57: Explain Newton's 3 Law of Motion.,physics
Physics Q58: Explain Newton's 1 Law of Motion.,physics
Physics Q59: Explain Newton's 2 Law of Motion.,physics
Physics Q60: Explain Newton's 3 Law of Motion.,physics
Physics Q61: Explain Newton's 1 Law of Motion.,physics
Physics Q62: Explain Newton's 2 Law of Motion.,physics
Physics Q63: Explain Newton's 3 Law of Motion.,physics
Physics Q64: Explain Newton's 1 Law of Motion.,physics
Physics Q65: Explain Newton's 2 Law of Motion.,physics
Physics Q66: Explain Newton's 3 Law of Motion.,physics
Physics Q67: Explain Newton's 1 Law of Motion.,physics
Physics Q68: Explain Newton's 2 Law of Motion.,physics
Physics Q69: Explain Newton's 3 Law of Motion.,physics
Physics Q70: Explain Newton's 1 Law of Motion.,physics
Physics Q71: Explain Newton's 2 Law of Motion.,physics
Physics Q72: Explain Newton's 3 Law of Motion.,physics
Physics Q73: Explain Newton's 1 Law of Motion.,physics
Physics Q74: Explain Newton's 2 Law of Motion.,physics
Physics Q75: Explain Newton's 3 Law of Motion.,physics
Physics Q76: Explain Newton's 1 Law of Motion.,physics
Physics Q77: Explain Newton's 2 Law of Motion.,physics
Physics Q78: Explain Newton's 3 Law of Motion.,physics
Physics Q79: Explain Newton's 1 Law of Motion.,physics
Physics Q80: Explain Newton's 2 Law of Motion.,physics
Physics Q81: Explain Newton's 3 Law of Motion.,physics
Physics Q82: Explain Newton's 1 Law of Motion.,physics
Physics Q83: Explain Newton's 2 Law of Motion.,physics
Physics Q84: Explain Newton's 3 Law of Motion.,physics
Physics Q85: Explain Newton's 1 Law of Motion.,physics
Physics Q86: Explain Newton's 2 Law of Motion.,physics
Physics Q87: Explain Newton's 3 Law of Motion.,physics
Physics Q88: Explain Newton's 1 Law of Motion.,physics
Physics Q89: Explain Newton's 2 Law of Motion.,physics
Physics Q90: Explain Newton's 3 Law of Motion.,physics
Physics Q91: Explain Newton's 1 Law of Motion.,physics
Physics Q92: Explain Newton's 2 Law of Motion.,physics
Physics Q93: Explain Newton's 3 Law of Motion.,physics
Physics Q94: Explain Newton's 1 Law of Motion.,physics
Physics Q95: Explain Newton's 2 Law of Motion.,physics
Physics Q96: Explain Newton's 3 Law of Motion.,physics
Physics Q97: Explain Newton's 1 Law of Motion.,physics
Physics Q98: Explain Newton's 2 Law of Motion.,physics
Physics Q99: Explain Newton's 3 Law of Motion.,physics
Physics Q100: Explain Newton's 1 Law of Motion.,physics
Math Q1: What is the result of 2 + 3? ,physics
Math Q2: What is the result of 3 + 4?,physics
Math Q3: What is the result of 4 + 5?,physics
Math Q4: What is the result of 5 + 6?,physics
Math Q5: What is the result of 6 + 7?,physics
Math Q6: What is the result of 7 + 8?,physics
Math Q7: What is the result of 8 + 9?,physics
Math Q8: What is the result of 9 + 10?,physics
Math Q9: What is the result of 10 + 11?,physics
Math Q10: What is the result of 11 + 12?,physics
Math Q11: What is the result of 12 + 13?,physics
Math Q12: What is the result of 13 + 14?,physics
Math Q13: What is the result of 14 + 15?,physics
Math Q14: What is the result of 15 + 16?,physics
Math Q15: What is the result of 16 + 17?,physics
Math Q16: What is the result of 17 + 18?,physics
Math Q17: What is the result of 18 + 19?,physics
Math Q18: What is the result of 19 + 20?,physics
Math Q19: What is the result of 20 + 21?,physics
Math Q20: What is the result of 21 + 22?,physics
Math Q21: What is the result of 22 + 23?,physics
Math Q22: What is the result of 23 + 24?,physics
Math Q23: What is the result of 24 + 25?,physics
Math Q24: What is the result of 25 + 26?,physics
Math Q25: What is the result of 26 + 27?,physics
Math Q26: What is the result of 27 + 28?,physics
Math Q27: What is the result of 28 + 29?,physics
Math Q28: What is the result of 29 + 30?,physics
Math Q29: What is the result of 30 + 31?,physics
Math Q30: What is the result of 31 + 32?,physics
Math Q31: What is the result of 32 + 33?,physics
Math Q32: What is the result of 33 + 34?,physics
Math Q33: What is the result of 34 + 35?,physics
Math Q34: What is the result of 35 + 36?,physics
Math Q35: What is the result of 36 + 37?,physics
Math Q36: What is the result of 37 + 38?,physics
Math Q37: What is the result of 38 + 39?,physics
Math Q38: What is the result of 39 + 40?,physics
Math Q39: What is the result of 40 + 41?,physics
Math Q40: What is the result of 41 + 42?,physics
Math Q41: What is the result of 42 + 43?,physics
Math Q42: What is the result of 43 + 44?,physics
Math Q43: What is the result of 44 + 45?,physics
Math Q44: What is the result of 45 + 46?,physics
Math Q45: What is the result of 46 + 47?,physics
Math Q46: What is the result of 47 + 48?,physics
Math Q47: What is the result of 48 + 49?,physics
Math Q48: What is the result of 49 + 50?,physics
Math Q49: What is the result of 50 + 51?,physics
Math Q50: What is the result of 51 + 52?,physics
Math Q51: What is the result of 52 + 53?,physics
Math Q52: What is the result of 53 + 54?,physics
Math Q53: What is the result of 54 + 55?,physics
Math Q54: What is the result of 55 + 56?,physics
Math Q55: What is the result of 56 + 57?,physics
Math Q56: What is the result of 57 + 58?,physics
Math Q57: What is the result of 58 + 59?,physics
Math Q58: What is the result of 59 + 60?,physics
Math Q59: What is the result of 60 + 61?,physics
Math Q60: What is the result of 61 + 62?,physics
Math Q61: What is the result of 62 + 63?,physics
Math Q62: What is the result of 63 + 64?,physics
Math Q63: What is the result of 64 + 65?,physics
Math Q64: What is the result of 65 + 66?,physics
Math Q65: What is the result of 66 + 67?,physics
Math Q66: What is the result of 67 + 68?,physics
Math Q67: What is the result of 68 + 69?,physics
Math Q68: What is the result of 69 + 70?,physics
Math Q69: What is the result of 70 + 71?,physics
Math Q70: What is the result of 71 + 72?,physics
Math Q71: What is the result of 72 + 73?,physics
Math Q72: What is the result of 73 + 74?,physics
Math Q73: What is the result of 74 + 75?,physics
Math Q74: What is the result of 75 + 76?,physics
Math Q75: What is the result of 76 + 77?,physics
Math Q76: What is the result of 77 + 78?,physics
Math Q77: What is the result of 78 + 79?,physics
Math Q78: What is the result of 79 + 80?,physics
Math Q79: What is the result of 80 + 81?,physics
Math Q80: What is the result of 81 + 82?,physics
Math Q81: What is the result of 82 + 83?,physics
Math Q82: What is the result of 83 + 84?,physics
Math Q83: What is the result of 84 + 85?,physics
Math Q84: What is the result of 85 + 86?,physics
Math Q85: What is the result of 86 + 87?,physics
Math Q86: What is the result of 87 + 88?,physics
Math Q87: What is the result of 88 + 89?,physics
Math Q88: What is the result of 89 + 90?,physics
Math Q89: What is the result of 90 + 91?,physics
Math Q90: What is the result of 91 + 92?,physics
Math Q91: What is the result of 92 + 93?,physics
Math Q92: What is the result of 93 + 94?,physics
Math Q93: What is the result of 94 + 95?,physics
Math Q94: What is the result of 95 + 96?,physics
Math Q95: What is the result of 96 + 97?,physics
Math Q96: What is the result of 97 + 98?,math
Math Q97: What is the result of 98 + 99?,math
Math Q98: What is the result of 99 + 100?,math
Math Q99: What is the result of 100 + 101?,math
Math Q100: What is the result of 101 + 102?,math
What is 5 + 7?,math
Solve for x: 2x + 3 = 11.,math
What is the derivative of x^2?,math
Integrate the function f(x) = 3x.,math
What is the value of π to two decimal places?,math
What is the area of a circle with radius 4?,math
Simplify: (3x^2 + 2x) - (x^2 - x).,math
What is the square root of 81?,math
"If y = 2x and x = 5, what is y?",math
What is the sum of the angles in a triangle?,math
What is 15% of 200?,math
What is the next prime number after 7?,math
What is the greatest common divisor of 18 and 24?,math
"What is the mean of the numbers 2, 4, 6, 8?",math
What is the probability of flipping heads on a fair coin?,math
What is the perimeter of a rectangle with sides 3 and 7?,math
What is the value of log10(100)?,math
What is the solution to the equation x^2 = 16?,math
What is the volume of a cube with side length 3?,math
What is the slope of the line y = 4x + 2?,math
What is the area of a triangle with base 10 and height 5?,math
Solve for x: 2x + 3 = 11,math
Find the circumference of a circle with radius 7.,math
Factor: x² - 5x + 6,math
Simplify: (2x + 3)(x - 4),math
Solve: 3x² - 12 = 0,math
"If f(x) = 2x + 1, find f(3)",math
Calculate the interior angles of a regular hexagon.,math
"What is the volume of a rectangular prism with sides 3, 4, and 5?",math
Find the length of the hypotenuse if the other sides are 6 and 8.,math
What is sin(30°)?,math
"If cos(θ) = 0.5, find θ.",math
Use SOH-CAH-TOA to find the missing side in a right triangle.,math
Find the angle of elevation if the height is 10 and base is 20.,math
Simplify: sin²x + cos²x,math
Find the derivative of f(x) = x²,math
Compute ∫x dx,math
Find the limit: lim(x→0) sin(x)/x,math
Determine the critical points of f(x) = x³ - 3x,math
Find the area under the curve y = x from 0 to 2,math
What is the probability of getting heads in a coin toss?,math
"If P(A) = 0.4 and P(B) = 0.3, what is P(A ∪ B) assuming A and B are mutually exclusive?",math
"Find the mean of 5, 10, 15",math
"What is the median of 3, 7, 9, 15, 21?",math
Define standard deviation.,math
"Add the matrices: [[1,2],[3,4]] + [[5,6],[7,8]]",math
"Multiply matrix [[1,2]] × [[3],[4]]",math
"Find the determinant of [[2, 3],[1, 4]]",math
"Solve for x in Ax = B where A = [[1,2],[3,4]] and B = [[5],[6]]",math
Define eigenvalues.,math
Is 29 a prime number?,math
Find the GCD of 24 and 36,math
Find the LCM of 12 and 15,math
What is 101 in binary?,math
Prove that even + even = even,math
A train travels 60 km in 2 hours. Find speed.,math
John has 3 apples more than Tom. Together they have 11. How many does each have?,math
A rectangle has area 24 and length 6. Find width.,math
"A car’s price decreases 10% annually. Original price is $20,000. What is it after 2 years?",math
"If 3 pens cost $1.50, what is the cost of 10 pens?",math
Sketch the graph of y = x²,math
Is f(x) = 1/x continuous?,math
Find the x-intercept of f(x) = 2x - 4,math
What is the domain of √(x - 3)?,math
Describe the transformation of y = |x| → y = |x - 2| + 3,math
Convert 0.75 to a fraction.,math
Simplify: (3/4) ÷ (2/5),math
Round 3.678 to 2 decimal places,math
Express 25% as a decimal,math
Convert 120° to radians,math
Solve for x: 5x - 2 = 3x + 6,math
Evaluate log₂(8),math
Simplify: √(49) + √(16),math
Convert 3/8 to a decimal,math
What is the cube root of 27?,math
What is the slope of the line y = 2x + 3?,math
Evaluate: |−5| + |3|,math
Find the perimeter of a square with side length 9,math
"What is the mode of the set: 1, 2, 2, 3, 4?",math
Find the inverse of the function f(x) = 3x + 1,math
What is the y-intercept of y = −4x + 7?,math
"What’s the next number in the sequence: 2, 4, 8, 16, ?",math
"If 2x = 32, what is x?",math
Convert 150° to radians,math
What’s the factorial of 5?,math
Simplify: (x²)³,math
What’s the square of (x + 3)?,math
"Find the midpoint between (2, 3) and (4, 7)",math
"Write an equation of a line through (0,0) and (2,3)",math
Find the derivative of f(x) = 3x² - 2x + 5,math
Evaluate the integral ∫(2x) dx from 0 to 2,math
"If the mean is 10 and the variance is 4, what is the standard deviation?",math
"If a dice is rolled, what’s the probability of getting an even number?",math
Simplify: (x - 1)(x + 1),math
What’s the sum of the first 10 natural numbers?,math
